Tribe,Country,Image,Description,Face shape:,Eye shape and size:,Nose shape:,Mouth shape:,Presence and style of scarification or tattoos:,Presence and type of headdress or hair representation:,Color palette used:,Presence of additional elements:,Overall size and proportions:,Material used:,Surface texture:,Presence and style of geometric patterns:,
 Tchokwe,Angola,https://www.tribal-art-gallery.com/tribal-art-pictures/23830/198f4278-5f5a-459d-99f8-dddda9ee0c08/Masque-Chokwe-Art-Africain_hqth.jpg,"Les Tchokwe, présents en Angola, en RDC et en Zambie, sont célèbres pour leurs masques sculptés et leurs dessins sur sable utilisés dans la narration de contes traditionnels.",Oval,Slit,Thin,Small closed,Geometric,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Geometric,
Mama/Kantana,Nigeria,https://www.tribal-art-gallery.com/tribal-art-pictures/23891/93136b2a-bcd7-4437-ae0f-1b496658182b/Masque-Kantana-Art-Africain_hqth.jpg,"Les Mama/Kantana, un sous-groupe du peuple Dagari au Ghana et au Burkina Faso, sont connus pour leur système agricole durable et leurs rituels liés à la terre.",Round,Large,Wide,Open,Absent,Simple cap,Earth tones,None,Small,Wood,Rough,Linear,
Dogon ,Mali,https://www.tribal-art-gallery.com/tribal-art-pictures/28139/13713a74-61e2-422a-9982-44ccee9e32e0/Masque-Dogon-Art-Africain_hqth.jpg,"Le peuple Dogon du Mali est réputé pour sa cosmologie complexe et ses connaissances astronomiques, notamment leur compréhension du système stellaire de Sirius bien avant sa découverte par les astronomes occidentaux.",Rectangular,Small,Beak-like,Closed,Absent,Elaborate,Vibrant,Animal features,Large,Wood,Smooth,Geometric,
Bambara / Bamana,Mali,https://www.tribal-art-gallery.com/tribal-art-pictures/28078/d2e8854b-1bbf-4735-b9ed-ae6412784687/Masque-Bambara-Art-Africain_hqth.jpg,"Les Bambara, prédominants au Mali, sont connus pour leurs masques élaborés utilisés dans les cérémonies d'initiation et leur société N'tomo, qui enseigne aux jeunes garçons des valeurs morales à travers la danse et la musique.",Elongated,Slit,Thin,Absent,Geometric,Elaborate,Natural wood,Animal features,Large,Wood,Smooth,Geometric,
Igbo ,Nigeria,https://www.tribal-art-gallery.com/tribal-art-pictures/28201/99f11cb5-f2b3-4ce6-b847-fc67bc534590/Masque-Igbo-Art-Africain_hqth.jpg,"Le peuple Igbo du sud-est du Nigeria a une cérémonie de passage à l'âge adulte unique appelée ""Iwa Akwa"" où les jeunes hommes prouvent leur force en luttant et en grimpant à de grands poteaux lisses.",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,
Makonde / Wamakonde,Tanzanie,http://www.tribal-art-gallery.com/tribal-art-pictures/28155/1c4cc80f-6fae-4ff7-a1c2-b46a75c4c781/Masque-Makonde-Art-Africain_hqth.jpg,"Les Makonde, présents en Tanzanie et au Mozambique, sont renommés pour leurs sculptures sur bois complexes, en particulier les sculptures de ""l'Arbre de Vie"" qui représentent des figures humaines entrelacées dans une structure en forme de tour.",Elongated,Slit,Absent,Absent,Geometric,Elaborate,Earth tones,None,Medium,Wood,Smooth,Geometric,
Ekpo ,Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/28163/9cd3713f-dd4c-4ce4-a61c-43654abacfc3/Masque-Ekpo-Art-Africain_hqth.jpg,La société secrète Ekpo du peuple Ibibio au Nigeria utilise des représentations masquées pour maintenir l'ordre social et commémorer les ancêtres.,Asymmetrical,Protruding,Wide,Grimacing,Absent,Absent,Black and white,Symbolic objects,Medium,Wood,Rough,Absent,
Igbo ,Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/28095/efb4eea2-013b-4c5a-b10f-4bb6322753fc/Masque-Igbo-Art-Africain_hqth.jpg,"Le peuple Igbo du sud-est du Nigeria a une cérémonie de passage à l'âge adulte unique appelée ""Iwa Akwa"" où les jeunes hommes prouvent leur force en luttant et en grimpant à de grands poteaux lisses.",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,Oval
Baga ,Guinee,http://www.tribal-art-gallery.com/tribal-art-pictures/17865/9380efcc-f90d-4133-91e0-8ae2774979a4/Masque-Baga-Art-Africain_hqth.jpg,"Le peuple Baga de Guinée est célèbre pour ses énormes coiffes en bois appelées Nimba, qui représentent la fertilité et sont utilisées dans les cérémonies agricoles.",Elongated,Small,Beak-like,Small closed,Absent,Elaborate,Vibrant,Animal features,Extra large,Wood,Smooth,Geometric,
Yoruba,Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/28089/156fb618-4110-4a1d-8837-39f351fbf208/Masque-Gelede-Art-Africain_hqth.jpg,"Le peuple Yoruba d'Afrique de l'Ouest possède un riche panthéon de divinités appelées Orishas, la divination Ifa étant reconnue par l'UNESCO comme un chef-d'œuvre du patrimoine oral et immatériel de l'humanité.",Round,Large,Wide,Full lips,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear,
